Date,Soil_Temperature (°C),Soil_Moisture (%),Air_Temperature (°C),Air_Humidity (%),Paddy_Growth_Stage,Recommended_Fertilizer,Quantity_kg_per_acre,Purpose,Sustainability_Note,Predicted_Yield_ton_per_ha,Cost_LKR_per_ha
2025-12-01,27.4,49.8,29.5,67.2,Tillering,MOP,17.9,Potassium for stem and disease resistance,Avoid chemical overuse; combine with compost.,9.27,2327.0
2025-12-15,29.7,68.6,33.3,73.3,Tillering,MOP,20.7,Potassium for stem and disease resistance,Use split application to reduce leaching.,10.47,2691.0
2025-01-13,31.3,49.5,30.9,92.0,Tillering,MOP,17.6,Potassium for stem and disease resistance,Use split application to reduce leaching.,10.16,2288.0
2025-08-04,28.9,66.6,33.6,94.6,Flowering,Zinc Sulphate,10.6,Improves grain quality and resistance,Maintain irrigation schedule to avoid fertilizer runoff.,10.67,3180.0
2025-04-15,29.3,49.9,34.2,76.0,Flowering,Boron,5.0,Micronutrient for flower formation,Use split application to reduce leaching.,9.49,2500.0
2025-12-19,31.6,53.5,35.7,62.7,Flowering,Iron Chelate,8.0,Iron supply to prevent chlorosis,Prefer organic alternatives where possible.,9.65,3600.0
2025-05-02,22.1,40.8,30.8,73.2,Tillering,Organic Compost,31.1,Improves soil structure and moisture retention,Prefer organic alternatives where possible.,9.34,1555.0
2025-05-23,25.3,70.9,30.8,83.9,Flowering,Iron Chelate,7.5,Iron supply to prevent chlorosis,Use split application to reduce leaching.,10.49,3375.0
2025-04-11,33.5,52.3,34.5,87.1,Flowering,Iron Chelate,8.1,Iron supply to prevent chlorosis,Use split application to reduce leaching.,10.13,3645.0
2025-04-26,26.5,42.6,34.1,67.1,Panicle Initiation,DAP,22.7,Phosphorus for root development,Use split application to reduce leaching.,9.27,3405.0
2025-08-16,25.3,55.2,34.6,76.8,Tillering,Compost Tea,17.1,Enhances microbial activity,Use split application to reduce leaching.,9.81,1368.0
2025-11-13,30.3,74.1,27.6,63.4,Panicle Initiation,Humic Acid,14.0,Soil conditioner and nutrient uptake,Prefer organic alternatives where possible.,10.36,3080.0
2025-01-04,31.9,37.2,34.7,64.9,Panicle Initiation,Potash,23.9,Potassium for stress tolerance,Maintain irrigation schedule to avoid fertilizer runoff.,9.52,3824.0
2025-07-17,31.0,58.6,35.8,75.8,Seedling,DAP,17.3,Phosphorus for root development,Use split application to reduce leaching.,10.3,2595.0
2025-11-21,27.9,40.6,31.1,89.2,Tillering,Biochar,25.1,Improves soil fertility and carbon retention,Maintain irrigation schedule to avoid fertilizer runoff.,9.64,2510.0
2025-08-03,22.5,74.6,29.9,78.3,Panicle Initiation,DAP,24.6,Phosphorus for root development,Avoid chemical overuse; combine with compost.,10.61,3690.0
2025-03-01,26.5,28.0,27.4,85.1,Harvest,Organic Compost,13.1,Improves soil structure and moisture retention,Prefer organic alternatives where possible.,8.81,655.0
2025-07-31,31.6,35.0,34.1,72.5,Flowering,Iron Chelate,7.5,Iron supply to prevent chlorosis,Avoid chemical overuse; combine with compost.,9.23,3375.0
2025-09-03,25.0,72.2,28.6,84.1,Tillering,Urea,32.8,Nitrogen boost for vegetative growth,Prefer organic alternatives where possible.,10.65,3936.0
2025-04-05,33.8,73.1,35.9,77.2,Flowering,Boron,5.6,Micronutrient for flower formation,Ensure soil testing before application.,11.0,2800.0
2025-06-15,28.6,61.0,29.5,75.6,Tillering,MOP,20.3,Potassium for stem and disease resistance,Maintain irrigation schedule to avoid fertilizer runoff.,10.2,2639.0
2025-10-14,27.7,69.7,35.8,86.2,Tillering,Biochar,21.8,Improves soil fertility and carbon retention,Ensure soil testing before application.,10.89,2180.0
2025-12-04,32.9,39.3,32.4,78.0,Seedling,Magnesium Sulphate,16.9,Magnesium for chlorophyll synthesis,Prefer organic alternatives where possible.,9.49,3042.0
2025-03-15,22.0,66.4,26.3,65.9,Seedling,Magnesium Sulphate,13.1,Magnesium for chlorophyll synthesis,Avoid chemical overuse; combine with compost.,9.63,2358.0
2025-03-01,26.7,42.8,33.4,86.4,Flowering,Boron,5.4,Micronutrient for flower formation,Prefer organic alternatives where possible.,9.39,2700.0
2025-09-06,27.4,38.3,34.1,79.8,Harvest,Organic Compost,13.2,Improves soil structure and moisture retention,Maintain irrigation schedule to avoid fertilizer runoff.,9.29,660.0
2025-08-28,31.2,42.3,35.2,80.1,Tillering,MOP,18.5,Potassium for stem and disease resistance,Prefer organic alternatives where possible.,9.71,2405.0
2025-11-30,33.3,51.2,29.1,94.5,Tillering,Biochar,22.1,Improves soil fertility and carbon retention,Maintain irrigation schedule to avoid fertilizer runoff.,10.35,2210.0
2025-09-29,29.6,54.2,35.5,76.0,Panicle Initiation,Seaweed Extract,9.8,Growth stimulant and micronutrients,Avoid chemical overuse; combine with compost.,9.78,2450.0
2025-01-14,31.1,29.6,30.5,62.0,Harvest,Green Manure,22.1,Nitrogen enrichment from legumes,Maintain irrigation schedule to avoid fertilizer runoff.,8.72,663.0
2025-08-27,26.3,44.5,33.3,89.3,Seedling,Magnesium Sulphate,13.9,Magnesium for chlorophyll synthesis,Ensure soil testing before application.,9.54,2502.0
2025-10-11,31.3,63.7,28.5,85.4,Flowering,Zinc Sulphate,10.3,Improves grain quality and resistance,Prefer organic alternatives where possible.,10.26,3090.0
2025-05-31,28.2,60.6,30.7,81.2,Panicle Initiation,DAP,24.0,Phosphorus for root development,Ensure soil testing before application.,10.46,3600.0
2025-03-23,26.0,27.8,32.8,79.4,Seedling,DAP,21.6,Phosphorus for root development,Maintain irrigation schedule to avoid fertilizer runoff.,8.98,3240.0
2025-06-14,26.8,27.5,27.4,63.4,Seedling,DAP,20.2,Phosphorus for root development,Prefer organic alternatives where possible.,8.43,3030.0
2025-09-13,22.4,40.3,30.0,82.9,Harvest,Phosphate Rock,20.7,Slow-release phosphorus,Avoid chemical overuse; combine with compost.,9.37,1863.0
2025-02-04,25.8,48.7,27.3,77.3,Seedling,Urea,23.8,Nitrogen boost for vegetative growth,Ensure soil testing before application.,9.62,2856.0
2025-01-03,31.6,29.6,31.0,72.6,Flowering,MOP,21.8,Potassium for stem and disease resistance,Use split application to reduce leaching.,9.28,2834.0
2025-08-24,31.8,32.2,28.8,80.2,Flowering,Zinc Sulphate,10.6,Improves grain quality and resistance,Use split application to reduce leaching.,9.21,3180.0
2025-10-06,33.3,54.5,35.5,68.2,Tillering,Urea,32.5,Nitrogen boost for vegetative growth,Use split application to reduce leaching.,10.58,3900.0
2025-06-05,30.3,58.7,28.3,69.0,Seedling,Magnesium Sulphate,13.5,Magnesium for chlorophyll synthesis,Maintain irrigation schedule to avoid fertilizer runoff.,9.89,2430.0
2025-02-10,22.6,53.4,34.7,71.4,Panicle Initiation,DAP,25.9,Phosphorus for root development,Maintain irrigation schedule to avoid fertilizer runoff.,9.88,3885.0
2025-09-30,27.2,73.5,28.7,72.4,Panicle Initiation,Humic Acid,14.1,Soil conditioner and nutrient uptake,Prefer organic alternatives where possible.,10.58,3102.0
2025-09-10,33.0,35.3,30.3,76.8,Tillering,Compost Tea,21.1,Enhances microbial activity,Avoid chemical overuse; combine with compost.,9.52,1688.0
2025-11-17,31.0,70.1,32.6,90.3,Tillering,Organic Compost,25.7,Improves soil structure and moisture retention,Maintain irrigation schedule to avoid fertilizer runoff.,11.13,1285.0
2025-11-21,32.7,58.4,31.7,65.2,Seedling,DAP,18.9,Phosphorus for root development,Use split application to reduce leaching.,10.27,2835.0
2025-06-28,26.4,59.4,32.2,70.6,Seedling,DAP,19.1,Phosphorus for root development,Avoid chemical overuse; combine with compost.,10.09,2865.0
2025-10-21,24.3,71.2,34.3,64.0,Tillering,Compost Tea,22.7,Enhances microbial activity,Ensure soil testing before application.,10.44,1816.0
2025-05-05,32.1,68.8,33.0,70.2,Seedling,DAP,20.5,Phosphorus for root development,Prefer organic alternatives where possible.,10.55,3075.0
2025-04-05,22.9,25.2,34.8,89.4,Harvest,Green Manure,21.4,Nitrogen enrichment from legumes,Use split application to reduce leaching.,9.04,642.0
2025-01-20,30.2,68.5,29.3,65.5,Panicle Initiation,Urea,18.5,Nitrogen boost for vegetative growth,Avoid chemical overuse; combine with compost.,10.45,2220.0
2025-02-25,22.3,44.6,34.4,75.2,Flowering,Zinc Sulphate,8.5,Improves grain quality and resistance,Use split application to reduce leaching.,9.06,2550.0
2025-11-24,32.9,68.2,29.3,90.5,Panicle Initiation,Seaweed Extract,9.0,Growth stimulant and micronutrients,Ensure soil testing before application.,10.76,2250.0
2025-02-03,32.0,45.6,35.3,80.0,Harvest,Phosphate Rock,18.9,Slow-release phosphorus,Use split application to reduce leaching.,9.8,1701.0
2025-12-04,26.5,73.6,26.0,90.9,Tillering,Compost Tea,20.2,Enhances microbial activity,Ensure soil testing before application.,10.81,1616.0
2025-09-07,29.8,26.7,35.3,68.1,Harvest,Green Manure,20.8,Nitrogen enrichment from legumes,Use split application to reduce leaching.,8.89,624.0
2025-10-18,25.2,44.5,32.5,63.4,Tillering,Organic Compost,27.0,Improves soil structure and moisture retention,Use split application to reduce leaching.,9.14,1350.0
2025-11-24,25.2,46.0,28.5,77.8,Tillering,Biochar,22.1,Improves soil fertility and carbon retention,Avoid chemical overuse; combine with compost.,9.34,2210.0
2025-01-14,28.4,55.6,27.3,94.5,Seedling,Urea,23.4,Nitrogen boost for vegetative growth,Use split application to reduce leaching.,10.15,2808.0
2025-04-24,28.7,51.4,28.4,85.8,Tillering,MOP,20.6,Potassium for stem and disease resistance,Avoid chemical overuse; combine with compost.,9.9,2678.0
2025-02-13,29.0,48.4,27.3,80.0,Tillering,Biochar,21.6,Improves soil fertility and carbon retention,Prefer organic alternatives where possible.,9.74,2160.0
2025-06-25,23.1,61.9,34.1,66.7,Flowering,Copper Sulphate,7.2,Micronutrient for enzyme activation,Use split application to reduce leaching.,9.51,2880.0
2025-03-05,27.5,30.4,31.0,70.1,Flowering,Boron,4.6,Micronutrient for flower formation,Use split application to reduce leaching.,8.69,2300.0
2025-03-24,33.7,47.8,26.6,91.6,Seedling,Ammonium Sulphate,20.9,Nitrogen and sulphur supply,Use split application to reduce leaching.,9.98,2926.0
2025-12-15,24.4,54.1,33.5,78.0,Seedling,DAP,20.1,Phosphorus for root development,Use split application to reduce leaching.,9.83,3015.0
2025-10-15,29.3,67.8,33.1,63.5,Tillering,Biochar,28.0,Improves soil fertility and carbon retention,Use split application to reduce leaching.,10.4,2800.0
2025-05-25,33.3,48.0,33.1,86.4,Flowering,Boron,4.6,Micronutrient for flower formation,Avoid chemical overuse; combine with compost.,9.92,2300.0
2025-01-06,23.3,64.4,31.3,71.1,Tillering,MOP,19.5,Potassium for stem and disease resistance,Maintain irrigation schedule to avoid fertilizer runoff.,10.01,2535.0
2025-03-09,32.1,53.2,32.0,77.3,Panicle Initiation,DAP,27.9,Phosphorus for root development,Use split application to reduce leaching.,10.17,4185.0
2025-10-31,28.4,42.2,26.2,62.5,Panicle Initiation,DAP,21.6,Phosphorus for root development,Prefer organic alternatives where possible.,8.88,3240.0
2025-02-08,29.1,72.4,32.2,84.5,Seedling,DAP,17.1,Phosphorus for root development,Ensure soil testing before application.,10.89,2565.0
2025-10-26,25.6,38.8,27.1,71.1,Tillering,Urea,34.5,Nitrogen boost for vegetative growth,Use split application to reduce leaching.,9.22,4140.0
2025-06-22,31.9,44.9,29.9,91.5,Flowering,Iron Chelate,8.2,Iron supply to prevent chlorosis,Maintain irrigation schedule to avoid fertilizer runoff.,9.96,3690.0
2025-02-21,32.0,56.5,35.5,60.2,Tillering,Urea,30.2,Nitrogen boost for vegetative growth,Prefer organic alternatives where possible.,10.26,3624.0
2025-08-15,23.8,62.5,27.8,72.1,Panicle Initiation,Urea,17.9,Nitrogen boost for vegetative growth,Use split application to reduce leaching.,9.79,2148.0
2025-10-15,31.5,46.0,30.2,87.8,Seedling,Magnesium Sulphate,16.7,Magnesium for chlorophyll synthesis,Prefer organic alternatives where possible.,10.07,3006.0
2025-03-22,22.4,41.1,30.9,83.9,Tillering,Compost Tea,18.8,Enhances microbial activity,Avoid chemical overuse; combine with compost.,9.27,1504.0
2025-11-24,29.2,63.0,28.1,69.1,Seedling,Ammonium Sulphate,18.8,Nitrogen and sulphur supply,Avoid chemical overuse; combine with compost.,10.17,2632.0
2025-07-24,31.4,25.2,29.5,92.9,Harvest,Green Manure,22.6,Nitrogen enrichment from legumes,Use split application to reduce leaching.,9.34,678.0
2025-01-07,28.2,43.5,27.0,66.2,Tillering,Compost Tea,22.2,Enhances microbial activity,Use split application to reduce leaching.,9.31,1776.0
2025-08-31,27.1,25.2,27.8,65.9,Panicle Initiation,Seaweed Extract,10.6,Growth stimulant and micronutrients,Ensure soil testing before application.,8.08,2650.0
2025-09-14,31.7,36.9,29.0,68.9,Seedling,Ammonium Sulphate,22.0,Nitrogen and sulphur supply,Prefer organic alternatives where possible.,9.27,3080.0
2025-02-07,29.0,66.8,26.7,65.0,Panicle Initiation,Humic Acid,13.2,Soil conditioner and nutrient uptake,Maintain irrigation schedule to avoid fertilizer runoff.,10.09,2904.0
2025-05-28,29.4,74.8,34.6,86.0,Panicle Initiation,Seaweed Extract,10.7,Growth stimulant and micronutrients,Ensure soil testing before application.,10.93,2675.0
2025-03-04,22.7,41.3,33.2,78.3,Tillering,Urea,34.5,Nitrogen boost for vegetative growth,Use split application to reduce leaching.,9.61,4140.0
2025-12-17,33.6,28.5,27.0,66.5,Harvest,Phosphate Rock,18.2,Slow-release phosphorus,Ensure soil testing before application.,8.81,1638.0
2025-01-03,22.1,34.5,35.6,71.7,Tillering,Urea,37.9,Nitrogen boost for vegetative growth,Maintain irrigation schedule to avoid fertilizer runoff.,9.14,4548.0
2025-04-01,32.0,45.6,34.6,71.1,Tillering,MOP,17.3,Potassium for stem and disease resistance,Avoid chemical overuse; combine with compost.,9.55,2249.0
2025-06-07,33.1,29.1,30.2,81.9,Seedling,Urea,21.7,Nitrogen boost for vegetative growth,Use split application to reduce leaching.,9.27,2604.0
2025-06-04,26.6,69.5,32.0,66.7,Flowering,MOP,25.4,Potassium for stem and disease resistance,Use split application to reduce leaching.,10.53,3302.0
2025-04-02,26.6,59.7,28.4,68.5,Tillering,MOP,19.3,Potassium for stem and disease resistance,Ensure soil testing before application.,9.77,2509.0
2025-07-09,27.0,49.4,30.6,73.1,Seedling,Calcium Nitrate,16.0,Calcium and nitrate supply for strong stems,Avoid chemical overuse; combine with compost.,9.44,3200.0
2025-11-23,27.3,30.4,29.6,80.5,Flowering,MOP,23.8,Potassium for stem and disease resistance,Ensure soil testing before application.,9.1,3094.0
2025-05-01,32.8,53.2,35.9,61.6,Tillering,Organic Compost,29.1,Improves soil structure and moisture retention,Maintain irrigation schedule to avoid fertilizer runoff.,10.29,1455.0
2025-08-07,28.6,32.2,30.0,90.9,Seedling,DAP,18.7,Phosphorus for root development,Use split application to reduce leaching.,9.34,2805.0
2025-11-28,33.7,57.5,26.7,92.0,Tillering,Organic Compost,32.7,Improves soil structure and moisture retention,Avoid chemical overuse; combine with compost.,10.75,1635.0
2025-12-22,33.4,69.0,26.2,74.6,Panicle Initiation,Urea,20.4,Nitrogen boost for vegetative growth,Use split application to reduce leaching.,10.57,2448.0
2025-12-08,22.8,46.9,31.7,88.2,Harvest,Organic Compost,14.1,Improves soil structure and moisture retention,Prefer organic alternatives where possible.,9.44,705.0
2025-01-26,27.1,27.2,27.6,82.1,Flowering,Zinc Sulphate,10.6,Improves grain quality and resistance,Ensure soil testing before application.,8.81,3180.0
2025-05-24,33.9,47.4,32.8,93.9,Panicle Initiation,Potash,21.1,Potassium for stress tolerance,Maintain irrigation schedule to avoid fertilizer runoff.,10.56,3376.0
2025-08-28,24.0,73.4,26.5,89.6,Panicle Initiation,Potash,18.9,Potassium for stress tolerance,Maintain irrigation schedule to avoid fertilizer runoff.,10.52,3024.0
2025-05-14,22.1,54.0,33.2,82.3,Seedling,Magnesium Sulphate,14.5,Magnesium for chlorophyll synthesis,Avoid chemical overuse; combine with compost.,9.62,2610.0
2025-02-13,26.1,41.6,34.0,74.8,Tillering,Compost Tea,18.7,Enhances microbial activity,Prefer organic alternatives where possible.,9.33,1496.0
2025-06-29,23.0,40.7,29.5,85.3,Seedling,Magnesium Sulphate,15.2,Magnesium for chlorophyll synthesis,Prefer organic alternatives where possible.,9.21,2736.0
2025-06-07,24.6,38.3,29.9,90.6,Panicle Initiation,Potash,20.5,Potassium for stress tolerance,Ensure soil testing before application.,9.4,3280.0
2025-04-07,23.6,29.8,29.2,73.0,Flowering,Iron Chelate,8.5,Iron supply to prevent chlorosis,Maintain irrigation schedule to avoid fertilizer runoff.,8.29,3825.0
2025-04-27,27.1,60.2,34.3,75.7,Seedling,Ammonium Sulphate,20.4,Nitrogen and sulphur supply,Use split application to reduce leaching.,10.12,2856.0
2025-08-19,29.2,55.4,29.2,78.0,Panicle Initiation,Seaweed Extract,8.7,Growth stimulant and micronutrients,Maintain irrigation schedule to avoid fertilizer runoff.,9.88,2175.0
2025-09-26,29.8,62.9,34.6,66.5,Flowering,Copper Sulphate,6.4,Micronutrient for enzyme activation,Ensure soil testing before application.,10.18,2560.0
2025-02-21,31.2,27.8,33.8,67.8,Panicle Initiation,Potash,19.2,Potassium for stress tolerance,Avoid chemical overuse; combine with compost.,9.08,3072.0
2025-01-09,25.6,57.0,30.9,94.9,Seedling,Magnesium Sulphate,13.1,Magnesium for chlorophyll synthesis,Maintain irrigation schedule to avoid fertilizer runoff.,10.15,2358.0
2025-07-19,24.2,71.1,34.9,65.5,Harvest,Green Manure,18.2,Nitrogen enrichment from legumes,Prefer organic alternatives where possible.,10.28,546.0
2025-08-30,27.8,57.2,27.4,68.5,Panicle Initiation,Seaweed Extract,11.5,Growth stimulant and micronutrients,Maintain irrigation schedule to avoid fertilizer runoff.,9.73,2875.0
2025-11-12,31.2,36.5,35.8,93.2,Panicle Initiation,DAP,23.2,Phosphorus for root development,Prefer organic alternatives where possible.,9.94,3480.0
2025-06-14,25.6,29.6,35.2,77.5,Harvest,Organic Compost,14.5,Improves soil structure and moisture retention,Maintain irrigation schedule to avoid fertilizer runoff.,8.69,725.0
2025-09-16,26.6,26.6,26.2,70.2,Seedling,Calcium Nitrate,19.8,Calcium and nitrate supply for strong stems,Prefer organic alternatives where possible.,8.53,3960.0
2025-12-24,31.2,56.4,35.2,75.5,Harvest,Phosphate Rock,20.0,Slow-release phosphorus,Prefer organic alternatives where possible.,10.08,1800.0
2025-02-18,30.3,28.4,30.9,77.8,Panicle Initiation,Humic Acid,12.8,Soil conditioner and nutrient uptake,Avoid chemical overuse; combine with compost.,8.8,2816.0
2025-11-13,33.2,71.9,29.8,60.1,Seedling,Ammonium Sulphate,23.0,Nitrogen and sulphur supply,Avoid chemical overuse; combine with compost.,10.66,3220.0
2025-11-17,28.1,28.4,26.7,88.5,Panicle Initiation,Potash,22.2,Potassium for stress tolerance,Ensure soil testing before application.,9.11,3552.0
2025-12-16,31.8,48.1,29.7,78.2,Panicle Initiation,Urea,17.5,Nitrogen boost for vegetative growth,Maintain irrigation schedule to avoid fertilizer runoff.,9.99,2100.0
2025-11-09,24.7,25.9,26.1,77.2,Panicle Initiation,DAP,26.8,Phosphorus for root development,Ensure soil testing before application.,8.61,4020.0
2025-10-10,24.6,49.4,33.5,81.8,Harvest,Phosphate Rock,20.2,Slow-release phosphorus,Use split application to reduce leaching.,9.57,1818.0
2025-09-07,32.1,62.0,34.6,94.7,Seedling,Urea,21.4,Nitrogen boost for vegetative growth,Maintain irrigation schedule to avoid fertilizer runoff.,11.14,2568.0
2025-10-05,24.5,32.3,32.5,84.6,Flowering,Boron,5.3,Micronutrient for flower formation,Prefer organic alternatives where possible.,8.97,2650.0
2025-12-22,32.2,28.6,30.0,68.8,Seedling,Calcium Nitrate,18.5,Calcium and nitrate supply for strong stems,Ensure soil testing before application.,8.78,3700.0
2025-11-11,25.2,49.4,32.7,72.5,Flowering,MOP,23.5,Potassium for stem and disease resistance,Use split application to reduce leaching.,9.71,3055.0
2025-08-20,33.0,51.4,33.1,63.1,Flowering,Zinc Sulphate,10.1,Improves grain quality and resistance,Prefer organic alternatives where possible.,9.7,3030.0
2025-11-28,30.8,33.8,28.4,89.2,Tillering,Organic Compost,31.4,Improves soil structure and moisture retention,Avoid chemical overuse; combine with compost.,9.47,1570.0
2025-05-17,23.0,40.3,32.2,60.5,Panicle Initiation,DAP,22.1,Phosphorus for root development,Ensure soil testing before application.,8.92,3315.0
2025-07-12,22.9,26.3,29.4,69.7,Panicle Initiation,Humic Acid,15.9,Soil conditioner and nutrient uptake,Ensure soil testing before application.,8.19,3498.0
2025-03-24,32.1,32.3,35.5,86.8,Seedling,Magnesium Sulphate,14.1,Magnesium for chlorophyll synthesis,Prefer organic alternatives where possible.,9.6,2538.0
2025-01-03,30.9,65.2,33.8,84.5,Tillering,MOP,17.4,Potassium for stem and disease resistance,Ensure soil testing before application.,10.72,2262.0
2025-07-28,33.8,48.7,28.3,76.1,Panicle Initiation,Humic Acid,13.1,Soil conditioner and nutrient uptake,Use split application to reduce leaching.,9.62,2882.0
2025-06-03,32.8,36.4,32.0,64.2,Tillering,Compost Tea,18.0,Enhances microbial activity,Avoid chemical overuse; combine with compost.,9.25,1440.0
2025-12-27,22.5,60.2,34.4,84.8,Panicle Initiation,DAP,27.9,Phosphorus for root development,Prefer organic alternatives where possible.,10.49,4185.0
2025-03-08,27.2,32.8,30.2,81.7,Harvest,Organic Compost,13.7,Improves soil structure and moisture retention,Maintain irrigation schedule to avoid fertilizer runoff.,8.95,685.0
2025-05-03,23.8,57.3,30.0,75.9,Flowering,Zinc Sulphate,9.9,Improves grain quality and resistance,Use split application to reduce leaching.,9.61,2970.0
2025-07-05,24.6,33.6,28.8,86.3,Flowering,Copper Sulphate,7.9,Micronutrient for enzyme activation,Ensure soil testing before application.,8.82,3160.0
2025-12-07,27.3,61.5,31.6,68.5,Panicle Initiation,Potash,23.8,Potassium for stress tolerance,Ensure soil testing before application.,10.24,3808.0
2025-02-04,22.5,26.7,28.6,80.2,Panicle Initiation,Humic Acid,14.7,Soil conditioner and nutrient uptake,Maintain irrigation schedule to avoid fertilizer runoff.,8.64,3234.0
2025-09-27,32.5,74.2,30.2,84.2,Flowering,Zinc Sulphate,10.5,Improves grain quality and resistance,Use split application to reduce leaching.,10.8,3150.0
2025-08-13,30.7,60.2,35.5,84.7,Panicle Initiation,DAP,24.2,Phosphorus for root development,Maintain irrigation schedule to avoid fertilizer runoff.,10.68,3630.0
2025-03-09,26.0,28.2,33.6,74.9,Harvest,Organic Compost,13.6,Improves soil structure and moisture retention,Use split application to reduce leaching.,8.85,680.0
2025-01-25,27.9,48.3,34.4,91.6,Harvest,Phosphate Rock,16.1,Slow-release phosphorus,Ensure soil testing before application.,9.87,1449.0
2025-12-10,25.9,56.6,34.4,78.3,Harvest,Phosphate Rock,20.3,Slow-release phosphorus,Prefer organic alternatives where possible.,9.88,1827.0
2025-12-03,25.6,28.2,26.3,63.0,Panicle Initiation,Humic Acid,15.6,Soil conditioner and nutrient uptake,Avoid chemical overuse; combine with compost.,8.1,3432.0
2025-10-19,32.5,49.3,34.1,74.0,Panicle Initiation,Urea,21.9,Nitrogen boost for vegetative growth,Ensure soil testing before application.,9.93,2628.0
2025-10-25,25.0,68.4,34.5,81.4,Panicle Initiation,Seaweed Extract,8.9,Growth stimulant and micronutrients,Maintain irrigation schedule to avoid fertilizer runoff.,10.38,2225.0
2025-09-17,26.4,29.4,26.3,61.6,Harvest,Green Manure,17.2,Nitrogen enrichment from legumes,Ensure soil testing before application.,8.32,516.0
2025-09-16,32.8,50.2,33.9,91.1,Tillering,Biochar,27.6,Improves soil fertility and carbon retention,Avoid chemical overuse; combine with compost.,10.41,2760.0
2025-08-25,23.3,30.0,26.8,83.6,Flowering,MOP,22.5,Potassium for stem and disease resistance,Ensure soil testing before application.,8.92,2925.0
2025-09-14,24.6,64.3,34.4,60.7,Flowering,Iron Chelate,7.7,Iron supply to prevent chlorosis,Avoid chemical overuse; combine with compost.,9.67,3465.0
2025-07-04,31.1,74.9,31.5,66.0,Flowering,Boron,5.7,Micronutrient for flower formation,Ensure soil testing before application.,10.54,2850.0
2025-04-24,30.4,38.7,34.5,88.0,Seedling,Calcium Nitrate,16.4,Calcium and nitrate supply for strong stems,Ensure soil testing before application.,9.86,3280.0
2025-10-14,25.1,60.5,30.5,64.0,Seedling,Magnesium Sulphate,15.3,Magnesium for chlorophyll synthesis,Prefer organic alternatives where possible.,9.76,2754.0
2025-11-06,28.4,58.5,31.3,70.3,Panicle Initiation,DAP,22.5,Phosphorus for root development,Avoid chemical overuse; combine with compost.,10.23,3375.0
2025-01-13,23.9,28.6,34.3,74.9,Flowering,Iron Chelate,6.9,Iron supply to prevent chlorosis,Use split application to reduce leaching.,8.69,3105.0
2025-12-18,23.5,33.2,31.4,84.3,Seedling,Magnesium Sulphate,17.0,Magnesium for chlorophyll synthesis,Use split application to reduce leaching.,9.01,3060.0
2025-08-05,33.4,59.3,28.8,70.3,Flowering,Copper Sulphate,7.3,Micronutrient for enzyme activation,Ensure soil testing before application.,9.77,2920.0
2025-04-28,27.4,46.2,34.8,86.4,Seedling,DAP,22.0,Phosphorus for root development,Ensure soil testing before application.,9.96,3300.0
2025-09-30,29.6,30.7,31.3,76.6,Seedling,Ammonium Sulphate,23.0,Nitrogen and sulphur supply,Ensure soil testing before application.,9.18,3220.0
2025-08-17,23.1,35.5,31.9,76.7,Panicle Initiation,DAP,21.8,Phosphorus for root development,Use split application to reduce leaching.,8.81,3270.0
2025-05-06,31.5,40.5,35.7,71.0,Panicle Initiation,DAP,28.1,Phosphorus for root development,Use split application to reduce leaching.,9.77,4215.0
2025-12-29,27.0,48.9,28.2,94.2,Seedling,Ammonium Sulphate,19.1,Nitrogen and sulphur supply,Ensure soil testing before application.,9.73,2674.0
2025-01-23,28.1,59.2,33.0,78.7,Flowering,Boron,4.5,Micronutrient for flower formation,Prefer organic alternatives where possible.,10.09,2250.0
2025-07-13,28.9,59.2,35.5,93.6,Tillering,Biochar,27.3,Improves soil fertility and carbon retention,Ensure soil testing before application.,10.87,2730.0
2025-12-24,23.9,46.1,26.6,90.5,Harvest,Green Manure,22.3,Nitrogen enrichment from legumes,Maintain irrigation schedule to avoid fertilizer runoff.,9.44,669.0
2025-11-21,30.6,43.5,31.1,83.5,Panicle Initiation,DAP,22.5,Phosphorus for root development,Avoid chemical overuse; combine with compost.,9.76,3375.0
2025-01-04,22.9,36.7,29.2,66.5,Flowering,MOP,26.9,Potassium for stem and disease resistance,Use split application to reduce leaching.,8.7,3497.0
2025-01-10,33.4,62.4,26.8,72.7,Panicle Initiation,DAP,22.0,Phosphorus for root development,Ensure soil testing before application.,10.28,3300.0
2025-02-18,23.5,45.7,35.4,65.6,Panicle Initiation,Humic Acid,13.3,Soil conditioner and nutrient uptake,Ensure soil testing before application.,9.34,2926.0
2025-07-03,26.0,58.5,35.6,80.4,Harvest,Organic Compost,15.5,Improves soil structure and moisture retention,Ensure soil testing before application.,10.02,775.0
2025-12-31,30.2,48.1,31.4,66.2,Flowering,Copper Sulphate,6.2,Micronutrient for enzyme activation,Use split application to reduce leaching.,9.39,2480.0
2025-01-19,22.3,52.2,27.0,60.5,Seedling,Urea,25.9,Nitrogen boost for vegetative growth,Avoid chemical overuse; combine with compost.,9.11,3108.0
2025-05-01,32.2,34.2,32.8,88.4,Tillering,Organic Compost,26.2,Improves soil structure and moisture retention,Use split application to reduce leaching.,9.86,1310.0
2025-11-26,32.2,59.6,31.9,76.3,Flowering,Copper Sulphate,6.7,Micronutrient for enzyme activation,Ensure soil testing before application.,10.14,2680.0
